rgn_name,rgn_id,rgn_code,year,species,harvest_kgs,stock_id,assessed,rgn_catch,catch_prop
Aristazabal Island,8,AZ,2012,boccacio,0,BOCACCBCW,1,28181.87,0
West Vancouver Island,5,WV,2011,boccacio,9316.51,BOCACCBCW,1,759419.23,0.012267940594551444
Strait of Georgia,6,SG,2011,boccacio,0,BOCACCBCW,1,0,NaN
North Coast,1,NC,2011,boccacio,89.35,BOCACCBCW,1,693035.94,1.289254926663688e-4
Haida Gwaii,2,HG,2011,boccacio,1210.22,BOCACCBCW,1,3546246.5500000003,3.4126786813511314e-4
Central Coast,3,CC,2011,boccacio,6960.58,BOCACCBCW,1,1179445.6300000001,0.005901569197386402
North Vancouver Island,4,NV,2011,boccacio,7114.04,BOCACCBCW,1,424787.37,0.016747296417970244
Pacific Offshore,7,PO,2011,boccacio,0,BOCACCBCW,1,84860.77,0
West Vancouver Island,5,WV,2010,boccacio,7709.08,BOCACCBCW,1,544876.62,0.014148303885749402
Strait of Georgia,6,SG,2010,boccacio,0,BOCACCBCW,1,1168.38,0
North Coast,1,NC,2010,boccacio,616.6,BOCACCBCW,1,955155.09,6.45549614356345e-4
Haida Gwaii,2,HG,2010,boccacio,3311.92,BOCACCBCW,1,5092484.82,6.503544177476802e-4
Central Coast,3,CC,2010,boccacio,4990.89,BOCACCBCW,1,1947224.53,0.002563078845355343
North Vancouver Island,4,NV,2010,boccacio,4152.13,BOCACCBCW,1,411242.93,0.01009653831617239
Aristazabal Island,8,AZ,2010,boccacio,56.25,BOCACCBCW,1,49990.36,0.001125216941826384
West Vancouver Island,5,WV,2009,boccacio,9749.92,BOCACCBCW,1,743896.24,0.013106559054526207
Strait of Georgia,6,SG,2009,boccacio,0,BOCACCBCW,1,564.2,0
North Coast,1,NC,2009,boccacio,324.21,BOCACCBCW,1,575534.38,5.63319953188548e-4
Haida Gwaii,2,HG,2009,boccacio,3737.21,BOCACCBCW,1,4638066.88,8.057688896456793e-4
Central Coast,3,CC,2009,boccacio,5940.01,BOCACCBCW,1,1141362.6700000002,0.005204314243079283
North Vancouver Island,4,NV,2009,boccacio,6237.47,BOCACCBCW,1,342309.49,0.018221726777133757
Aristazabal Island,8,AZ,2009,boccacio,179.51,BOCACCBCW,1,25420.4,0.007061651272206574
West Vancouver Island,5,WV,2008,boccacio,17983.86,BOCACCBCW,1,1211164.48,0.014848404404990478
Strait of Georgia,6,SG,2008,boccacio,0,BOCACCBCW,1,629.88,0
North Coast,1,NC,2008,boccacio,373.89,BOCACCBCW,1,617040.26,6.059410126658509e-4
Haida Gwaii,2,HG,2008,boccacio,3580.23,BOCACCBCW,1,4296829.39,8.332260080728968e-4
Central Coast,3,CC,2008,boccacio,8932.35,BOCACCBCW,1,1004162.9400000001,0.008895319319392529
North Vancouver Island,4,NV,2008,boccacio,6761.44,BOCACCBCW,1,477946.84,0.01414684528513673
Aristazabal Island,8,AZ,2008,boccacio,435.01,BOCACCBCW,1,25734.06,0.01690405633623299
Pacific Offshore,7,PO,2008,boccacio,52.33,BOCACCBCW,1,51330.98,0.0010194623208050965
West Vancouver Island,5,WV,2007,boccacio,14462.37,BOCACCBCW,1,1214001.28,0.01191297755468594
Strait of Georgia,6,SG,2007,boccacio,0,BOCACCBCW,1,1033.7,0
North Coast,1,NC,2007,boccacio,1014.97,BOCACCBCW,1,597081.52,0.0016998851346127744
Haida Gwaii,2,HG,2007,boccacio,5180.45,BOCACCBCW,1,4658794.28,0.0011119722590541173
Central Coast,3,CC,2007,boccacio,17025.54,BOCACCBCW,1,1212719.55,0.014039140376684783
North Vancouver Island,4,NV,2007,boccacio,10325.29,BOCACCBCW,1,440465.47,0.023441769453573742
Aristazabal Island,8,AZ,2007,boccacio,79.38,BOCACCBCW,1,25148.120000000003,0.00315649837840761
West Vancouver Island,5,WV,2015,dogfish,162216.46,NA,0,33452129.480067726,0.00484921176981142
Strait of Georgia,6,SG,2015,dogfish,105429.92,NA,0,16912592.048037514,0.0062338120437448715
North Coast,1,NC,2015,dogfish,0,NA,0,6183163.396933077,0
Haida Gwaii,2,HG,2015,dogfish,1876.9,NA,0,13542664.750681318,1.3859163130399246e-4
Central Coast,3,CC,2015,dogfish,382.74,NA,0,4916529.47,7.784759601979972e-5
North Vancouver Island,4,NV,2015,dogfish,5745.64,NA,0,5674150.295034657,0.0010125991912882362
Aristazabal Island,8,AZ,2015,dogfish,0,NA,0,130331.65999999999,0
West Vancouver Island,5,WV,2014,dogfish,128860.01,NA,0,22716529.430170547,0.005672521869861728
